word,mirror
ir,eu
vt,ny

got,hwy
goy,hwt
gry,hut
heh,gig
hei,gie
hel,gis
hes,gil
hey,git
hic,gem
his,gel
hit,gey
hrs,gul
hui,gre
ise,eli
isl,els
iud,erk
ivy,ent
jeu,fir
jut,fry
keb,dib
key,dit
kgr,dhu
kin,dev
kit,dey
led,sik
lei,sie
les,sil
lue,sri
lwl,sos
lwm,soc
meh,cig
mel,cis
mis,cel
mow,cwo
moy,cwt
mts,cyl
mum,crc
mus,crl
nee,vii
nei,vie
nek,vid
nie,vei
oii,wee
oil,wes
out,wry
owd,wok
owk,wod
owl,wos
pre,qui
pul,qrs
qed,pik
rub,urb
rue,uri
rye,uti
sec,lim
sei,lie
sel,lis
sen,liv
sep,liq
seq,lip
sey,lit
sid,lek
sin,lev
sir,leu
sit,ley
sly,lst
sow,lwo
stm,lyc
swy,lot
tel,yis
two,yow
uey,rit
ugt,rhy
ust,rly
vel,nis
wed,oik
wei,oie
woy,owt
wus,orl
wut,ory
yeh,tig
yer,tiu
yes,til
yoe,twi
bely,bist
bess,bill
bint,bevy
bisk,beld
brus,burl
buik,bred
bury,brut
cede,miki
cedi,mike
circ,meum
debt,kiby
dely,kist
dess,kill
feni,jive
fent,jivy
fess,jill
fiji,jefe
fiot,jewy
gess,hill
gies,heil
gird,heuk
grus,hurl
hehe,gigi
hiss,gell
huey,grit
ices,emil
ikey,edit
immi,ecce
jedi,fike
jess,fill
keld,disk
kell,diss
kibe,debi
kiel,deis
kild,desk
kine,devi
kirs,deul
kiss,dell
kris,duel
kuei,drie
less,sill
levi,sine
lied,seik
lieu,seir
liss,sell
lowy,swot
ment,civy
mess,cill
meus,cirl
mill,cess
miss,cell
misy,celt
muil,cres
murk,crud
murl,crus
nell,viss
nese,vili
ness,vill
news,viol
nies,veil
nisi,vele
oily,west
orly,wust
owly,wost
prev,quin
prey,quit
quei,prie
quim,prec
ryes,util
sect,limy
seil,lies
seld,lisk
semi,lice
sess,lill
sidi,leke
tess,yill
teuk,yird
trey,yuit
twos,yowl
uily,rest
veri,niue
vies,neil
vine,nevi
wime,oeci
yede,tiki
besew,bilio
bines,bevil
brust,burly
cecil,mimes
civil,menes
desyl,kilts
dines,kevil
fremt,juicy
gwely,hoist
kesse,dilli
kines,devil
loeil,swies
loess,swill
murly,crust
murmi,cruce
nihil,veges
priss,quell
quent,privy
querl,prius
quill,press
seqwl,lipos
silyl,lests
oekist,widely
murkily,crudest
sillily,lessest
